id,keywords
5,"[{'id': 612, 'name': 'hotel'}, {'id': 613, 'name': ""new year's eve""}, {'id': 616, 'name': 'witch'}, {'id': 622, 'name': 'bet'}, {'id': 922, 'name': 'hotel room'}, {'id': 2700, 'name': 'sperm'}, {'id': 12670, 'name': 'los angeles'}, {'id': 160488, 'name': 'hoodlum'}, {'id': 187056, 'name': 'woman director'}, {'id': 198129, 'name': 'episode film'}]"
15,"[{'id': 736, 'name': 'journalist'}, {'id': 918, 'name': 'newspaper'}, {'id': 1196, 'name': 'florida'}, {'id': 2110, 'name': 'capitalist'}, {'id': 3515, 'name': 'banker'}, {'id': 3587, 'name': 'media tycoon'}, {'id': 3660, 'name': 'art collector'}, {'id': 3661, 'name': 'sleigh'}, {'id': 10594, 'name': 'money'}, {'id': 208349, 'name': 'child'}]"
58,"[{'id': 616, 'name': 'witch'}, {'id': 663, 'name': 'fortune teller'}, {'id': 910, 'name': 'bondage'}, {'id': 911, 'name': 'exotic island'}, {'id': 1299, 'name': 'monster'}, {'id': 1316, 'name': 'captain'}, {'id': 1317, 'name': 'card game'}, {'id': 1319, 'name': 'east india trading company'}, {'id': 1461, 'name': 'compass'}, {'id': 3799, 'name': 'ship'}, {'id': 5600, 'name': 'daughter'}, {'id': 12988, 'name': 'pirate'}, {'id': 157186, 'name': 'swashbuckler'}, {'id': 179430, 'name': 'aftercreditsstinger'}]"
67,"[{'id': 30, 'name': 'individual'}, {'id': 321, 'name': 'terror'}, {'id': 393, 'name': 'civil war'}, {'id': 536, 'name': 'israel'}, {'id': 537, 'name': 'palestine'}, {'id': 539, 'name': 'middle east'}, {'id': 789, 'name': 'muslim'}, {'id': 5907, 'name': 'middle east conflict'}, {'id': 6054, 'name': 'friendship'}, {'id': 12993, 'name': 'suicide mission'}, {'id': 156052, 'name': 'unemployment'}]"
73,"[{'id': 279, 'name': 'usa'}, {'id': 376, 'name': 'neo-nazi'}, {'id': 378, 'name': 'prison'}, {'id': 379, 'name': 'skinhead'}, {'id': 380, 'name': 'brother brother relationship'}, {'id': 570, 'name': 'rape'}, {'id': 1755, 'name': 'fascism'}, {'id': 5301, 'name': 'brother'}, {'id': 6496, 'name': 'basketball'}, {'id': 9890, 'name': 'jail'}, {'id': 10873, 'name': 'school'}, {'id': 11105, 'name': 'swastika'}, {'id': 12670, 'name': 'los angeles'}, {'id': 18035, 'name': 'family'}, {'id': 41509, 'name': 'hate'}, {'id': 159950, 'name': 'neo nazism'}, {'id': 160910, 'name': 'xenophobia'}, {'id': 165583, 'name': 'interracial friendship'}, {'id': 191726, 'name': 'nazism'}, {'id': 215876, 'name': 'prison rape'}]"
85,"[{'id': 83, 'name': 'saving the world'}, {'id': 483, 'name': 'riddle'}, {'id': 485, 'name': 'nepal'}, {'id': 486, 'name': 'himalaya'}, {'id': 487, 'name': 'cairo'}, {'id': 488, 'name': 'moses'}, {'id': 1160, 'name': 'egypt'}, {'id': 1294, 'name': 'whip'}, {'id': 1454, 'name': 'treasure'}, {'id': 1456, 'name': 'medallion'}, {'id': 2650, 'name': 'leather jacket'}, {'id': 2652, 'name': 'nazis'}, {'id': 2656, 'name': 'hat'}, {'id': 2853, 'name': 'mediterranean'}, {'id': 2854, 'name': 'ark of the covenant'}, {'id': 2856, 'name': 'ten commandments'}, {'id': 6956, 'name': 'treasure hunt'}, {'id': 9032, 'name': 'excavation'}, {'id': 11105, 'name': 'swastika'}, {'id': 41586, 'name': 'archaeologist'}, {'id': 176731, 'name': 'indiana jones'}, {'id': 184134, 'name': 'archeology\xa0'}]"
93,"[{'id': 570, 'name': 'rape'}, {'id': 596, 'name': 'adultery'}, {'id': 931, 'name': 'jealousy'}, {'id': 933, 'name': 'michigan'}, {'id': 934, 'name': 'judge'}, {'id': 1315, 'name': 'hays code'}, {'id': 1416, 'name': 'jazz'}, {'id': 1417, 'name': 'jurors'}, {'id': 3012, 'name': 'court case'}, {'id': 10909, 'name': 'lawyer'}]"
102,"[{'id': 30, 'name': 'individual'}, {'id': 509, 'name': 'denmark'}, {'id': 856, 'name': 'paraplegic'}, {'id': 978, 'name': 'broken engagement'}, {'id': 1333, 'name': 'desperation'}, {'id': 1334, 'name': 'wedding vows'}, {'id': 1335, 'name': 'sense of guilt'}, {'id': 3817, 'name': 'chance'}, {'id': 7879, 'name': 'secret love'}, {'id': 9844, 'name': 'car crash'}, {'id': 11612, 'name': 'hospital'}, {'id': 12996, 'name': 'dogme 95'}, {'id': 14534, 'name': 'relationship'}, {'id': 15160, 'name': 'divorce'}, {'id': 34094, 'name': 'extramarital affair'}, {'id': 158558, 'name': 'disabled'}, {'id': 187056, 'name': 'woman director'}]"
112,"[{'id': 110, 'name': 'venice'}, {'id': 612, 'name': 'hotel'}, {'id': 792, 'name': 'copenhagen'}, {'id': 828, 'name': 'waitress'}, {'id': 894, 'name': 'depression'}, {'id': 924, 'name': 'italian'}, {'id': 928, 'name': 'hairdresser'}, {'id': 5600, 'name': 'daughter'}, {'id': 6054, 'name': 'friendship'}, {'id': 6277, 'name': 'language course'}, {'id': 6280, 'name': 'adult education center'}, {'id': 10093, 'name': 'priest'}, {'id': 10707, 'name': 'mother daughter relationship'}, {'id': 12996, 'name': 'dogme 95'}, {'id': 14765, 'name': 'church'}, {'id': 187056, 'name': 'woman director'}]"
155,"[{'id': 849, 'name': 'dc comics'}, {'id': 853, 'name': 'crime fighter'}, {'id': 1308, 'name': 'secret identity'}, {'id': 3151, 'name': 'scarecrow'}, {'id': 4426, 'name': 'sadism'}, {'id': 4630, 'name': 'chaos'}, {'id': 6969, 'name': 'gotham city'}, {'id': 7002, 'name': 'vigilante'}, {'id': 9537, 'name': 'joker'}, {'id': 9715, 'name': 'superhero'}, {'id': 9717, 'name': 'based on comic'}, {'id': 10044, 'name': 'tragic hero'}, {'id': 10291, 'name': 'organized crime'}, {'id': 18023, 'name': 'criminal mastermind'}, {'id': 33518, 'name': 'district attorney'}, {'id': 156395, 'name': 'imax'}, {'id': 163074, 'name': 'super villain'}, {'id': 163455, 'name': 'super powers'}, {'id': 230775, 'name': 'batman'}]"
